date,cycle,scenario,month_in_cycle,pred
2034-12-01,26,weak,0,6.061122378682207
2035-01-01,26,weak,1,6.3333338501123215
2035-02-01,26,weak,2,6.7196600952686145
2035-03-01,26,weak,3,7.116109446311207
2035-04-01,26,weak,4,7.648599388996951
2035-05-01,26,weak,5,8.027151690378979
2035-06-01,26,weak,6,8.205095437782685
2035-07-01,26,weak,7,8.635486215812255
2035-08-01,26,weak,8,9.200684403108957
2035-09-01,26,weak,9,9.932105577915376
2035-10-01,26,weak,10,10.716273634734398
2035-11-01,26,weak,11,11.667830788118275
2035-12-01,26,weak,12,12.72210064442069
2036-01-01,26,weak,13,13.676116009030627
2036-02-01,26,weak,14,14.73865106565716
2036-03-01,26,weak,15,16.037745335910415
2036-04-01,26,weak,16,17.388976979898242
2036-05-01,26,weak,17,18.67738569278736
2036-06-01,26,weak,18,19.900648904054645
2036-07-01,26,weak,19,21.80396423052089
2036-08-01,26,weak,20,23.65112532432293
2036-09-01,26,weak,21,25.71289082204192
2036-10-01,26,weak,22,28.067412945904426
2036-11-01,26,weak,23,30.352230911481076
2036-12-01,26,weak,24,32.27999687134904
2037-01-01,26,weak,25,34.68293209531701
2037-02-01,26,weak,26,37.37165062419256
2037-03-01,26,weak,27,40.400276400237935
2037-04-01,26,weak,28,43.065468497761934
2037-05-01,26,weak,29,45.80114545736629
2037-06-01,26,weak,30,48.60801275438689
2037-07-01,26,weak,31,51.599315923286866
2037-08-01,26,weak,32,54.65395180495726
2037-09-01,26,weak,33,57.71873308585237
2037-10-01,26,weak,34,60.601366624232774
2037-11-01,26,weak,35,63.9482056779294
2037-12-01,26,weak,36,67.04130812939047
2038-01-01,26,weak,37,69.86556207269575
2038-02-01,26,weak,38,72.6426660796379
2038-03-01,26,weak,39,75.62493448838808
2038-04-01,26,weak,40,79.1351988188362
2038-05-01,26,weak,41,82.51228034710705
2038-06-01,26,weak,42,85.22373677953034
2038-07-01,26,weak,43,87.42826651113442
2038-08-01,26,weak,44,89.13530343651611
2038-09-01,26,weak,45,90.74739914826682
2038-10-01,26,weak,46,92.4479465812277
2038-11-01,26,weak,47,94.69637606035499
2038-12-01,26,weak,48,96.78354545818051
2039-01-01,26,weak,49,98.47539016508638
2039-02-01,26,weak,50,100.48004194875679
2039-03-01,26,weak,51,102.73860747056939
2039-04-01,26,weak,52,104.69686787744176
2039-05-01,26,weak,53,106.34804651189188
2039-06-01,26,weak,54,108.05711168460668
2039-07-01,26,weak,55,109.03050613689402
2039-08-01,26,weak,56,109.425094587458
2039-09-01,26,weak,57,110.10179662490835
2039-10-01,26,weak,58,110.07141405400542
2039-11-01,26,weak,59,110.40506518943222
2039-12-01,26,weak,60,110.92975496504079
2040-01-01,26,weak,61,111.27929958725764
2040-02-01,26,weak,62,112.36732699946955
2040-03-01,26,weak,63,113.65432681046907
2040-04-01,26,weak,64,114.28378933881667
2040-05-01,26,weak,65,114.70342875838325
2040-06-01,26,weak,66,114.31876677303991
2040-07-01,26,weak,67,114.06988389279262
2040-08-01,26,weak,68,113.60075509730588
2040-09-01,26,weak,69,112.92959505050514
2040-10-01,26,weak,70,113.00351200227581
2040-11-01,26,weak,71,113.54009966970438
2040-12-01,26,weak,72,114.04082087638149
2041-01-01,26,weak,73,114.14455454463604
2041-02-01,26,weak,74,113.95682284063
2041-03-01,26,weak,75,113.72232889636798
2041-04-01,26,weak,76,113.42869752617891
2041-05-01,26,weak,77,112.78975438998886
2041-06-01,26,weak,78,112.95546307679699
2041-07-01,26,weak,79,112.74110785404783
2041-08-01,26,weak,80,112.9719252756292
2041-09-01,26,weak,81,113.96154507154122
2041-10-01,26,weak,82,114.21068511672273
2041-11-01,26,weak,83,113.62971197548364
2041-12-01,26,weak,84,112.67840897356314
2042-01-01,26,weak,85,111.63308412642284
2042-02-01,26,weak,86,110.42701322746964
2042-03-01,26,weak,87,109.81435237767859
2042-04-01,26,weak,88,108.79793790716305
2042-05-01,26,weak,89,107.23558096918708
2042-06-01,26,weak,90,105.79833346276627
2042-07-01,26,weak,91,104.29613184266736
2042-08-01,26,weak,92,102.94792350365948
2042-09-01,26,weak,93,101.63782977515442
2042-10-01,26,weak,94,100.25023252564382
2042-11-01,26,weak,95,98.95046084856494
2042-12-01,26,weak,96,98.34083798269054
2043-01-01,26,weak,97,97.21877626426968
2043-02-01,26,weak,98,94.82049388387375
2043-03-01,26,weak,99,92.71565691288255
2043-04-01,26,weak,100,90.42015503006867
2043-05-01,26,weak,101,88.21089319662883
2043-06-01,26,weak,102,86.4099501945562
2043-07-01,26,weak,103,85.46529502815912
2043-08-01,26,weak,104,84.6964689278871
2043-09-01,26,weak,105,84.0395838454426
2043-10-01,26,weak,106,82.62288445087464
2043-11-01,26,weak,107,80.61686687549638
2043-12-01,26,weak,108,78.6949320995337
2044-01-01,26,weak,109,76.76825228476119
2044-02-01,26,weak,110,75.3813804858888
2044-03-01,26,weak,111,74.05859061075833
2044-04-01,26,weak,112,71.8013404764737
2044-05-01,26,weak,113,69.72384885070748
2044-06-01,26,weak,114,68.23889476675065
2044-07-01,26,weak,115,66.37279282424566
2044-08-01,26,weak,116,64.73202844883264
2044-09-01,26,weak,117,62.97686274945312
2044-10-01,26,weak,118,61.44073677834261
2044-11-01,26,weak,119,60.00559670933012
2044-12-01,26,weak,120,58.647093207045195
2045-01-01,26,weak,121,56.867316162210976
2045-02-01,26,weak,122,54.95919534113225
2045-03-01,26,weak,123,53.23852087434724
2045-04-01,26,weak,124,51.36534101359753
2045-05-01,26,weak,125,50.065160505480996
2045-06-01,26,weak,126,48.801380891216915
2045-07-01,26,weak,127,47.479379913964785
2045-08-01,26,weak,128,46.29472187469082
2045-09-01,26,weak,129,45.10711359799538
2045-10-01,26,weak,130,43.68047149474172
2045-11-01,26,weak,131,41.81018561147489
2045-12-01,26,weak,132,40.2023899097861
2046-01-01,26,weak,133,38.64446085140013
2046-02-01,26,weak,134,37.65735515975696
2046-03-01,26,weak,135,36.87229091532204
2046-04-01,26,weak,136,36.11382930298398
2046-05-01,26,weak,137,35.097243468194115
2046-06-01,26,weak,138,34.14914226684121
2046-07-01,26,weak,139,33.165915733991085
2046-08-01,26,weak,140,31.9896700376283
2046-09-01,26,weak,141,30.75087696030598
2046-10-01,26,weak,142,29.686608414147102
2046-11-01,26,weak,143,28.764513608669084
2046-12-01,26,weak,144,27.482219429050897
2047-01-01,26,weak,145,26.137303649302357
2047-02-01,26,weak,146,24.848852690089995
2047-03-01,26,weak,147,24.192811185911033
2047-04-01,26,weak,148,23.693915933971624
2047-05-01,26,weak,149,23.085310519480295
2047-06-01,26,weak,150,22.37480597237278
2047-07-01,26,weak,151,21.609323458037316
2047-08-01,26,weak,152,20.719250981289484
2047-09-01,26,weak,153,19.801387356481193
2047-10-01,26,weak,154,18.72998452651457
2047-11-01,26,weak,155,17.779467629989426
2047-12-01,26,weak,156,17.06557511420752
2048-01-01,26,weak,157,16.23736344907158
2048-02-01,26,weak,158,15.46480435101886
2048-03-01,26,weak,159,14.90706417216581
2048-04-01,26,weak,160,14.46831290030702
2048-05-01,26,weak,161,14.090831330400377
2048-06-01,26,weak,162,13.51435456601825
2048-07-01,26,weak,163,13.041408639323555
2048-08-01,26,weak,164,12.484894532234476
2048-09-01,26,weak,165,11.850789538313231
2048-10-01,26,weak,166,11.0848222754772
2048-11-01,26,weak,167,10.211485978170929
2048-12-01,26,weak,168,9.584673824739047
2049-01-01,26,weak,169,9.213592099845648
2049-02-01,26,weak,170,8.94417533136636
2049-03-01,26,weak,171,8.59846734342563
2049-04-01,26,weak,172,8.266397546755007
2049-05-01,26,weak,173,7.903289644900586
2049-06-01,26,weak,174,7.592695223704063
2049-07-01,26,weak,175,7.265805207724949
2049-08-01,26,weak,176,6.89882797876033
2049-09-01,26,weak,177,6.693098994987636
2049-10-01,26,weak,178,6.49586594263376
2049-11-01,26,weak,179,6.130405304848068
2034-12-01,26,medium,0,8.872567693174354
2035-01-01,26,medium,1,9.271044172649002
