cycle,start_date,end_date,complete,length_months,peak_date,peak_month_in_cycle,peak_ssn_smooth,start_ssn_smooth
12,1878-10,1888-11,True,122,1883-12,62,123.01538461538462,4.023076923076923
13,1888-12,1901-12,True,157,1894-01,61,147.74615384615385,9.007692307692308
14,1902-01,1913-06,True,138,1906-01,48,108.9076923076923,4.2384615384615385
15,1913-07,1923-06,True,120,1917-07,48,172.16153846153844,2.592307692307692
16,1923-07,1933-08,True,122,1928-03,56,129.1,8.976923076923077
17,1933-09,1944-02,True,126,1937-04,43,197.06923076923078,6.26923076923077
18,1944-03,1954-03,True,121,1947-05,38,216.8153846153846,13.546153846153844
19,1954-04,1964-09,True,126,1958-03,47,286.89230769230767,5.592307692307693
20,1964-10,1976-05,True,140,1968-11,49,158.03846153846155,14.046153846153846
21,1976-06,1986-02,True,117,1979-12,42,231.7076923076923,17.823076923076922
22,1986-03,1996-07,True,125,1989-06,39,212.76923076923077,13.592307692307692
23,1996-08,2008-10,True,147,2002-03,67,180.91538461538462,11.053846153846154
24,2008-11,2019-11,True,133,2014-04,65,115.33076923076922,2.376923076923077
25,2019-12,partial,False,71,2024-10,58,159.22307692307692,1.9384615384615387
