target_cycle,obs_months_used,candidate_cycle,distance,weight,candidate_peak_ssn,candidate_peak_month
25,60,13,0.15161491631596566,0.1468568923981389,147.74615384615385,61
25,60,15,0.24764158064503644,0.11582897394147551,172.16153846153844,48
25,60,12,0.32352710052643074,0.09601963042303194,123.01538461538462,62
25,60,24,0.33498452046045063,0.09333862191996847,115.33076923076922,65
25,60,16,0.36109667040162036,0.08750483109654877,129.1,56
25,60,14,0.3883599197826371,0.08180259140954929,108.9076923076923,48
25,60,17,0.40458780211974177,0.07858645483740646,197.06923076923078,43
25,60,20,0.4107257802106257,0.07740322525909411,158.03846153846155,49
25,60,23,0.44809423384769664,0.07057435874685082,180.91538461538462,67
25,60,22,0.5899946665153647,0.04969674084680488,212.76923076923077,39
25,60,18,0.701586879453197,0.037717455159943764,216.8153846153846,38
25,60,21,0.7016135972778028,0.03771496449516677,231.7076923076923,42
25,60,19,0.8375062841908456,0.026955259466020377,286.89230769230767,47
