cycle,t_high,t_low,rise_n,peak_n,decline_n,trough_n,std,n_months,peak_ssn,start_ssn
11,0.5,0.1,21,37,33,49,10.0,140,293.6,0.0
12,0.6,0.1,32,32,30,32,0.8660254037844386,126,152.6,0.0
13,0.4,0.05,20,50,56,30,14.594519519326424,156,215.4,1.3
14,0.5,0.05,29,34,43,32,5.220153254455275,138,178.7,0.0
15,0.45,0.1,23,29,37,35,5.477225575051661,124,257.7,0.0
16,0.6499999999999999,0.15000000000000002,28,31,32,30,1.479019945774904,121,163.4,0.8
17,0.6,0.15000000000000002,19,32,40,38,8.1967981553775,129,241.8,0.4
18,0.6,0.15000000000000002,19,31,37,31,6.5383484153110105,118,285.0,0.4
19,0.55,0.1,16,38,41,32,9.65336728815391,127,359.4,0.4
20,0.7,0.15000000000000002,24,32,53,36,10.59186008215743,145,192.3,4.8
21,0.7,0.1,21,34,36,29,5.787918451395113,120,266.9,2.9
22,0.6,0.1,22,32,42,29,7.189401922274203,125,284.5,0.6
23,0.6,0.1,32,33,42,36,3.897114317029974,143,238.2,0.7
