cycle,t_high,t_low,rise_n,peak_n,decline_n,trough_n,std,n_months,peak_ssn,start_ssn,end_ssn,silso_min_dev_months,silso_peak_dev_months,n_secondary_peaks,start_date,end_date,peak_date
11,0.4700000000000001,0.07,24,39,43,34,7.106335201775948,140,293.6,0.0,0.0,1,3,0,1867-01-01,1878-08-01,1870-05-01
12,0.7700000000000004,0.11000000000000001,29,29,36,32,2.8722813232690143,126,152.6,0.0,1.3,1,1,1,1878-08-01,1889-01-01,1884-01-01
13,0.5100000000000001,0.07,20,36,55,45,12.864680330268607,156,215.4,1.3,0.0,13,5,0,1889-01-01,1901-12-01,1893-08-01
14,0.4900000000000001,0.07,28,35,40,35,4.272001872658765,138,178.7,0.0,0.0,1,15,0,1901-12-01,1913-05-01,1905-11-01
15,0.45000000000000007,0.09000000000000001,23,29,38,34,5.612486080160912,124,257.7,0.0,0.8,2,0,0,1913-05-01,1923-08-01,1917-08-01
16,0.7300000000000003,0.13,19,37,37,28,7.46240577829965,121,163.4,0.8,0.4,0,3,1,1923-08-01,1933-08-01,1928-07-01
17,0.5900000000000002,0.13,20,34,42,33,7.8859051477937525,129,241.8,0.4,0.4,1,3,0,1933-08-01,1944-04-01,1937-07-01
18,0.6100000000000002,0.15000000000000002,19,30,38,31,6.800735254367722,118,285.0,0.4,0.4,2,0,0,1944-04-01,1954-01-01,1947-05-01
19,0.6300000000000002,0.11000000000000001,18,30,45,34,9.65336728815391,127,359.4,0.4,4.8,3,5,0,1954-01-01,1964-07-01,1957-10-01
20,0.6900000000000003,0.15000000000000002,14,42,53,36,14.219265100559873,145,192.3,4.8,2.9,3,4,1,1964-07-01,1976-07-01,1969-03-01
21,0.8100000000000004,0.11000000000000001,25,30,34,31,3.24037034920393,120,266.9,2.9,0.6,1,3,1,1976-07-01,1986-06-01,1979-09-01
22,0.7500000000000003,0.13,24,29,35,37,5.11737237261468,125,284.5,0.6,0.7,3,5,1,1986-06-01,1996-10-01,1989-06-01
23,0.6100000000000002,0.11000000000000001,31,32,41,39,4.322904116447646,143,238.2,0.7,0.3,2,2,0,1996-10-01,2008-08-01,2001-09-01
