cycle,rise_n,peak_n,decline_n,trough_n,std,n_months,peak_ssn,peak_idx_in_cycle
11,35,35,35,35,0.0,140,293.6,40
12,32,32,31,31,0.5,126,152.6,65
13,39,39,39,39,0.0,156,215.4,55
14,35,35,34,34,0.5,138,178.7,47
15,31,31,31,31,0.0,124,257.7,51
16,31,30,30,30,0.4330127018922193,121,163.4,59
17,33,32,32,32,0.4330127018922193,129,241.8,47
18,30,30,29,29,0.5,118,285.0,37
19,32,32,32,31,0.4330127018922193,127,359.4,45
20,37,36,36,36,0.4330127018922193,145,192.3,56
21,30,30,30,30,0.0,120,266.9,38
22,32,31,31,31,0.4330127018922193,125,284.5,36
23,36,36,36,35,0.4330127018922193,143,238.2,59
