date,ssn,cycle,phase,is_split_point
1867-01-01,0.0,11,trough,1
1867-02-01,1.4,11,trough,0
1867-03-01,17.4,11,trough,0
1867-04-01,9.7,11,trough,0
1867-05-01,5.5,11,trough,0
1867-06-01,2.8,11,trough,0
1867-07-01,9.5,11,trough,0
1867-08-01,9.1,11,trough,0
1867-09-01,18.7,11,trough,0
1867-10-01,25.5,11,rise,0
1867-11-01,18.1,11,trough,0
1867-12-01,47.9,11,rise,0
1868-01-01,25.9,11,rise,0
1868-02-01,26.3,11,rise,0
1868-03-01,44.0,11,rise,0
1868-04-01,61.1,11,rise,0
1868-05-01,44.5,11,rise,0
1868-06-01,51.8,11,rise,0
1868-07-01,48.3,11,rise,0
1868-08-01,57.3,11,rise,0
1868-09-01,78.7,11,rise,0
1868-10-01,102.8,11,rise,0
1868-11-01,98.7,11,rise,0
1868-12-01,112.8,11,rise,0
1869-01-01,101.6,11,rise,0
1869-02-01,99.9,11,rise,0
1869-03-01,88.0,11,rise,0
1869-04-01,68.4,11,rise,0
1869-05-01,173.4,11,peak,0
1869-06-01,180.7,11,peak,0
1869-07-01,98.8,11,rise,0
1869-08-01,132.7,11,rise,0
1869-09-01,134.5,11,rise,0
1869-10-01,99.0,11,rise,0
1869-11-01,130.2,11,rise,0
1869-12-01,174.1,11,peak,0
1870-01-01,129.0,11,rise,0
1870-02-01,191.7,11,peak,0
1870-03-01,262.7,11,peak,0
1870-04-01,266.9,11,peak,0
1870-05-01,293.6,11,peak,0
1870-06-01,226.3,11,peak,0
1870-07-01,220.9,11,peak,0
1870-08-01,256.5,11,peak,0
1870-09-01,226.8,11,peak,0
1870-10-01,244.3,11,peak,0
1870-11-01,246.0,11,peak,0
1870-12-01,216.7,11,peak,0
1871-01-01,147.2,11,peak,0
1871-02-01,209.0,11,peak,0
1871-03-01,238.7,11,peak,0
1871-04-01,270.9,11,peak,0
1871-05-01,242.6,11,peak,0
1871-06-01,152.9,11,peak,0
1871-07-01,171.8,11,peak,0
1871-08-01,183.7,11,peak,0
1871-09-01,133.9,11,decline,0
1871-10-01,148.5,11,peak,0
1871-11-01,175.7,11,peak,0
1871-12-01,150.8,11,peak,0
1872-01-01,132.7,11,decline,0
1872-02-01,200.3,11,peak,0
1872-03-01,147.5,11,peak,0
1872-04-01,170.4,11,peak,0
1872-05-01,179.5,11,peak,0
1872-06-01,183.3,11,peak,0
1872-07-01,176.0,11,peak,0
1872-08-01,155.0,11,peak,0
1872-09-01,191.1,11,peak,0
1872-10-01,171.2,11,peak,0
1872-11-01,186.8,11,peak,0
1872-12-01,139.9,11,peak,0
1873-01-01,144.6,11,peak,0
1873-02-01,178.4,11,peak,0
1873-03-01,164.0,11,peak,0
1873-04-01,127.1,11,decline,0
1873-05-01,80.0,11,decline,0
1873-06-01,74.8,11,decline,0
1873-07-01,111.7,11,decline,0
1873-08-01,113.8,11,decline,0
1873-09-01,78.7,11,decline,0
1873-10-01,78.6,11,decline,0
1873-11-01,92.5,11,decline,0
1873-12-01,82.0,11,decline,0
1874-01-01,101.4,11,decline,0
1874-02-01,107.1,11,decline,0
1874-03-01,77.5,11,decline,0
1874-04-01,53.5,11,decline,0
1874-05-01,74.6,11,decline,0
